Label	logFC	FDR
 A1BG 	-0.0562738	5.91E-03
 A1CF 	0.2569568	7.27E-02
 A2LD1 	0.0064721	9.16E-01
 A2M 	0.6945443	3.14E-03
 A2ML1 	-0.0016019	8.87E-01
 A4GALT 	-0.1264616	6.22E-02
 A4GNT 	0.1330656	6.92E-01
 AAA1 	-0.0060075	4.25E-01
 AAAS 	0.1227858	7.89E-02
 AACS 	0.0836245	3.04E-01
 AADAC 	-0.7714797	1.06E-02
 AADACL2 	-0.0026233	7.66E-01
 AADAT 	0.0583425	1.57E-01
 AAGAB 	0.2792064	1.86E-05
 AAK1 	-0.2350016	1.40E-04
 AAMP 	0.1989262	7.68E-02
 AANAT 	-0.0556962	9.57E-02
 AARS 	0.2808506	2.22E-02
 AARS2 	0.197842	3.69E-04
 AARSD1 	0.179767	7.09E-03
 AASDH 	0.1387348	2.24E-01
 AASDHPPT 	0.2003884	3.75E-03
 AASS 	-0.1325566	7.58E-02
 AATF 	0.6439008	7.20E-07
 ABAT 	-0.3165503	9.57E-05
 ABCA1 	0.4105923	1.02E-04
 ABCA10 	0.0171377	6.01E-01
 ABCA11P 	0.0486198	9.97E-02
 ABCA12 	0.0845797	1.93E-01
 ABCA13 	0.0235018	1.17E-01
 ABCA2 	-0.0663748	4.84E-01
 ABCA3 	-0.0030024	9.51E-01
 ABCA4 	-0.0119533	4.85E-02
 ABCA5 	-0.1687117	2.72E-04
 ABCA6 	0.0397466	5.00E-01
 ABCA7 	-0.0411532	2.40E-01
 ABCA8 	-0.1938847	4.54E-02
 ABCA9 	0.0533624	2.26E-01
 ABCB1 	0.1376969	2.19E-01
 ABCB10 	0.1988936	1.58E-03
 ABCB11 	0.0009607	8.92E-01
 ABCB4 	0.0125406	3.27E-01
 ABCB5 	-0.004288	4.83E-01
 ABCB6 	0.2210926	1.09E-02
 ABCB7 	0.2760483	3.68E-03
 ABCB8 	0.1233489	1.36E-02
 ABCB9 	-0.0001997	9.91E-01
 ABCC1 	0.2538164	6.85E-03
 ABCC10 	0.3128989	3.57E-03
 ABCC11 	-0.0097379	1.19E-01
 ABCC12 	-0.0218511	5.42E-04
 ABCC13 	-0.0231649	6.05E-02
 ABCC2 	0.1338746	4.38E-01
 ABCC3 	0.3960866	7.39E-02
 ABCC4 	0.15396	3.60E-02
 ABCC5 	-0.4136179	1.05E-03
 ABCC6 	-0.0139548	7.03E-01
 ABCC8 	-0.1326511	4.97E-11
 ABCC9 	0.1263457	3.02E-03
 ABCD1 	0.2835554	4.50E-06
 ABCD2 	-0.0205	7.49E-02
 ABCD3 	-0.0211156	8.81E-01
 ABCD4 	0.0543423	3.47E-01
 ABCE1 	0.7215712	5.63E-07
 ABCF1 	0.3824255	8.58E-07
 ABCF2 	0.4014082	1.98E-07
 ABCF3 	0.3342296	2.97E-05
 ABCG1 	-0.0154642	7.88E-01
 ABCG2 	0.0986467	6.10E-01
 ABCG4 	-0.0334355	3.50E-03
 ABCG5 	-0.0950991	4.14E-01
 ABCG8 	-0.052906	7.06E-01
 ABHD1 	-0.0250858	2.26E-02
 ABHD10 	0.1622101	1.14E-02
 ABHD11 	0.922034	1.63E-10
 ABHD12 	0.4553523	5.84E-05
 ABHD12B 	-0.0033063	6.55E-01
 ABHD13 	0.3870831	2.07E-04
 ABHD14A 	-0.0234	7.47E-01
 ABHD14B 	0.0585909	5.78E-01
 ABHD15 	0.0510658	3.21E-01
 ABHD2 	0.1411566	4.05E-01
 ABHD3 	0.2819712	6.45E-03
 ABHD4 	-0.1269384	1.61E-01
 ABHD5 	0.1531494	1.32E-02
 ABHD6 	-0.0863041	3.28E-01
 ABHD8 	-0.0506751	9.08E-02
 ABI1 	0.5991692	3.27E-07
 ABI2 	0.4075924	3.89E-07
 ABI3 	0.031015	5.90E-01
 ABI3BP 	0.183829	2.85E-01
 ABL1 	0.0372252	5.86E-01
 ABL2 	0.1146663	8.11E-04
 ABLIM1 	-0.0626566	5.58E-01
 ABLIM2 	0.2444649	1.95E-02
 ABLIM3 	0.2124256	4.18E-04
 ABO 	0.0327716	4.89E-01
 ABP1 	1.0938874	2.62E-04
 ABR 	0.4305139	2.21E-07
 ABRA 	-0.0190035	2.38E-01
 ABT1 	0.3436989	3.12E-08
 ABTB1 	0.2033154	4.19E-03
 ABTB2 	0.3323227	1.21E-04
 ACAA1 	0.04263	6.69E-01
 ACAA2 	1.1538863	1.37E-06
 ACACA 	0.4696157	1.77E-06
 ACACB 	-0.4240212	2.17E-09
 ACAD10 	-0.0208099	7.37E-01
 ACAD11 	0.003313	9.65E-01
 ACAD8 	-0.0477972	3.81E-01
 ACAD9 	0.4625015	1.74E-07
 ACADL 	-0.2104224	5.55E-07
 ACADM 	-0.143849	2.78E-01
 ACADS 	-0.2189221	2.54E-02
 ACADSB 	-0.2148346	7.75E-03
 ACADVL 	-0.2951621	1.98E-02
 ACAN 	0.0305619	7.71E-02
 ACAP1 	-0.1882629	5.89E-02
 ACAP2 	0.488872	2.96E-08
 ACAP3 	-0.00503	9.40E-01
 ACAT1 	-0.49302	8.03E-04
 ACAT2 	0.4935385	3.46E-03
 ACBD3 	0.4031202	2.87E-05
 ACBD4 	-0.0499732	9.76E-02
 ACBD5 	0.4254646	3.87E-05
 ACBD6 	0.5279396	4.45E-08
 ACBD7 	0.0297254	1.26E-01
 ACCN1 	-0.0122869	3.76E-01
 ACCN2 	0.0130751	6.17E-01
 ACCN3 	-0.1831986	5.25E-04
 ACCN4 	-0.028385	3.35E-03
 ACCN5 	-0.0189052	1.69E-01
 ACCS 	-0.1138526	9.05E-02
 ACD 	0.2901708	1.96E-06
 ACE 	-0.025131	4.76E-01
 ACE2 	0.0251438	9.52E-01
 ACER1 	-0.0149763	2.14E-01
 ACER2 	-0.1987266	8.32E-04
 ACER3 	0.2140858	1.66E-05
 ACHE 	0.2065565	1.72E-03
 ACIN1 	0.2012129	4.50E-05
 ACLY 	0.6971398	3.77E-06
 ACMSD 	0.0264248	2.64E-01
 ACN9 	0.6476131	3.49E-04
 ACO1 	-0.4048972	2.23E-04
 ACO2 	-0.4915734	8.45E-05
 ACOT11 	0.0177399	8.20E-01
 ACOT12 	-0.025562	1.09E-03
 ACOT13 	0.2164952	1.37E-01
 ACOT2 	0.0375654	7.97E-01
 ACOT4 	0.1094385	1.02E-01
 ACOT7 	0.3400243	1.53E-04
 ACOT8 	0.2990886	3.33E-03
 ACOT9 	0.6565644	2.02E-08
 ACOX1 	-0.0080031	9.56E-01
 ACOX2 	0.0032318	9.60E-01
 ACOX3 	-0.0572644	3.27E-01
 ACOXL 	-0.009572	4.39E-01
 ACP1 	0.4649666	1.28E-05
 ACP2 	0.1965859	2.76E-02
 ACP5 	0.2185789	2.42E-01
 ACP6 	0.3693537	5.36E-04
 ACPL2 	0.2421337	1.99E-04
 ACPP 	0.1719423	1.05E-01
 ACPT 	-0.0922948	1.83E-03
 ACR 	-0.0096187	6.72E-01
 ACRBP 	0.0956722	5.50E-02
 ACRC 	0.0139766	3.79E-01
 ACRV1 	-0.007105	3.19E-01
 ACSBG1 	-0.0130244	2.56E-01
 ACSBG2 	-0.0134827	1.40E-02
 ACSF2 	-0.2788772	5.13E-02
 ACSF3 	-0.014566	8.01E-01
 ACSL1 	-0.1297953	3.23E-01
 ACSL3 	-0.0968973	4.27E-01
 ACSL4 	0.3382452	2.85E-03
 ACSL5 	0.4234223	2.37E-01
 ACSL6 	-0.0159405	2.14E-02
 ACSM1 	-0.1045988	8.78E-08
 ACSM2B 	-0.0232486	8.93E-01
 ACSM3 	-0.6598541	2.67E-03
 ACSM5 	-0.0589346	1.72E-03
 ACSS1 	-0.2671357	5.09E-02
 ACSS2 	-0.1105227	5.40E-01
 ACSS3 	0.1033751	1.83E-01
 ACTA1 	-0.0512956	6.32E-02
 ACTA2 	1.0596263	2.63E-05
 ACTB 	0.4991506	1.87E-01
 ACTC1 	0.1950779	2.89E-03
 ACTG1 	0.3879111	4.84E-04
 ACTG2 	0.371162	3.06E-01
 ACTL6A 	0.6632853	1.81E-09
 ACTL6B 	-0.074852	2.35E-04
 ACTL7A 	-0.0002593	9.92E-01
