Label	logFC	FDR
 ACTL7B 	-0.0080822	7.33E-01
 ACTL8 	-0.0027863	9.51E-01
 ACTL9 	-0.0590216	1.96E-01
 ACTN1 	1.1313781	8.13E-14
 ACTN2 	-0.0090656	1.78E-01
 ACTN3 	-0.0171999	8.51E-02
 ACTN4 	0.794216	6.48E-07
 ACTR10 	0.2983186	3.11E-03
 ACTR1A 	0.3422001	9.07E-05
 ACTR1B 	0.114137	1.90E-01
 ACTR2 	0.4088106	3.97E-06
 ACTR3 	0.7656446	9.33E-07
 ACTR3B 	0.3320582	6.61E-05
 ACTR3C 	0.0549472	1.85E-01
 ACTR5 	0.5354838	1.92E-11
 ACTR6 	0.3045354	3.97E-03
 ACTR8 	0.2585928	1.20E-04
 ACTRT1 	-0.003198	7.24E-01
 ACTRT2 	-0.0532043	4.94E-02
 ACVR1 	0.3714908	4.07E-06
 ACVR1B 	0.1389052	1.39E-01
 ACVR2A 	0.120929	8.06E-02
 ACVR2B 	0.0219093	7.60E-01
 ACVRL1 	0.0828802	1.20E-01
 ACY1 	0.2474233	2.06E-01
 ACY3 	-0.1403105	3.69E-01
 ACYP1 	0.4794864	5.39E-07
 ACYP2 	0.0013732	9.88E-01
 ADA 	-0.9518699	1.50E-08
 ADAD1 	-0.0219405	2.69E-01
 ADAD2 	-0.100396	1.73E-03
 ADAL 	0.0575948	1.94E-01
 ADAM10 	0.6313103	5.81E-09
 ADAM11 	-0.0747539	2.39E-04
 ADAM12 	0.1185607	9.91E-03
 ADAM15 	0.3809589	1.40E-03
 ADAM17 	0.4536828	8.05E-09
 ADAM18 	-0.0001014	9.88E-01
 ADAM19 	0.0440206	3.97E-01
 ADAM20 	0.005561	5.33E-01
 ADAM21 	-0.0034178	6.88E-01
 ADAM22 	0.0688341	1.69E-03
 ADAM23 	0.009763	6.46E-01
 ADAM28 	-1.4120992	5.81E-09
 ADAM29 	-0.0138902	1.30E-01
 ADAM30 	-0.010621	1.23E-01
 ADAM32 	0.0310408	1.81E-02
 ADAM33 	-0.1014333	1.53E-04
 ADAM3A 	-0.0069096	2.35E-01
 ADAM5P 	0.0013818	8.24E-01
 ADAM6 	-0.7900913	1.20E-06
 ADAM7 	-0.0101101	8.95E-02
 ADAM8 	0.1886368	6.66E-03
 ADAM9 	0.4550328	1.34E-02
 ADAMDEC1 	0.3303951	1.34E-03
 ADAMTS1 	-0.1571166	2.01E-01
 ADAMTS10 	-0.0312058	2.32E-01
 ADAMTS12 	0.2947171	1.19E-06
 ADAMTS13 	-0.062149	2.12E-02
 ADAMTS14 	0.03587	1.89E-01
 ADAMTS15 	-0.111806	5.43E-04
 ADAMTS16 	-0.015199	1.45E-01
 ADAMTS17 	-0.0652206	2.37E-02
 ADAMTS18 	0.0174496	6.42E-01
 ADAMTS19 	-0.0073241	4.71E-01
 ADAMTS2 	0.3536166	7.38E-07
 ADAMTS20 	-0.0062161	2.78E-01
 ADAMTS3 	0.0032722	6.80E-01
 ADAMTS4 	0.1146557	7.55E-03
 ADAMTS5 	0.0715453	1.72E-02
 ADAMTS6 	0.0665251	2.56E-04
 ADAMTS7 	-0.0253844	2.55E-01
 ADAMTS8 	-0.060526	9.21E-03
 ADAMTS9 	0.2380846	9.30E-04
 ADAMTSL1 	-0.2049926	3.58E-10
 ADAMTSL3 	-0.0095044	9.13E-01
 ADAMTSL4 	0.0306277	6.55E-01
 ADAMTSL5 	0.0822799	3.34E-02
 ADAP1 	0.7884637	6.09E-10
 ADAP2 	0.2379586	5.06E-05
 ADAR 	0.7060433	6.97E-09
 ADARB1 	-0.009669	8.24E-01
 ADARB2 	-0.0595791	1.40E-03
 ADAT1 	0.1578892	1.84E-02
 ADAT2 	0.2787798	3.80E-05
 ADAT3 	0.0755327	4.21E-01
 ADC 	-0.0192326	3.24E-01
 ADCK1 	0.1131322	5.29E-03
 ADCK2 	0.2525842	1.60E-04
 ADCK3 	-0.2056319	1.50E-01
 ADCK4 	-0.0094421	8.85E-01
 ADCK5 	0.3688384	2.86E-05
 ADCY1 	-0.054958	1.59E-02
 ADCY10 	0.0003429	9.55E-01
 ADCY2 	-0.0493802	2.28E-03
 ADCY3 	0.4226606	9.41E-12
 ADCY4 	0.012887	8.08E-01
 ADCY5 	0.0019073	9.65E-01
 ADCY6 	0.007476	9.23E-01
 ADCY7 	0.273135	1.36E-04
 ADCY8 	-0.0105929	1.39E-01
 ADCY9 	0.2326671	1.45E-03
 ADCYAP1 	-0.0341471	2.19E-01
 ADCYAP1R1 	-0.0328112	3.02E-03
 ADD1 	0.0735602	3.31E-01
 ADD2 	-0.0790364	3.25E-06
 ADD3 	0.6306039	8.81E-05
 ADH1A 	-0.352026	4.57E-02
 ADH1B 	0.0268503	9.17E-01
 ADH1C 	-2.2489507	5.23E-05
 ADH4 	-0.2734564	1.31E-01
 ADH5 	0.1832306	8.01E-02
 ADH6 	-0.0086296	9.40E-01
 ADH7 	-0.2156248	2.80E-02
 ADHFE1 	-0.7926828	4.17E-08
 ADI1 	-0.2163685	9.28E-02
 ADIG 	-0.1249075	2.95E-04
 ADIPOQ 	-0.0058492	6.16E-01
 ADIPOR1 	0.0134406	9.22E-01
 ADIPOR2 	-0.1641302	8.56E-02
 ADK 	0.5366437	1.36E-03
 ADM 	-0.1697045	4.80E-02
 ADM2 	-0.0540377	2.68E-01
 ADNP 	0.6508751	3.39E-08
 ADNP2 	0.1749981	5.89E-04
 ADO 	0.2845816	6.52E-06
 ADORA1 	-0.043903	7.67E-02
 ADORA2A 	-0.047728	1.55E-01
 ADORA2B 	0.2009697	1.73E-03
 ADORA3 	0.0932633	9.52E-03
 ADPGK 	0.3057721	1.52E-06
 ADPRH 	0.0465258	1.07E-02
 ADPRHL1 	-0.0024436	9.45E-01
 ADPRHL2 	0.3911806	4.01E-08
 ADRA1A 	-0.0406893	1.78E-06
 ADRA1B 	-0.0534512	4.64E-03
 ADRA1D 	-0.03428	1.59E-01
 ADRA2A 	0.3035707	1.48E-01
 ADRA2B 	-0.0394749	2.03E-01
 ADRA2C 	-0.0653542	1.59E-01
 ADRB1 	-0.0757315	1.58E-02
 ADRB2 	-0.1576243	4.53E-06
 ADRB3 	-0.0183824	3.49E-01
 ADRBK1 	0.3563306	1.05E-07
 ADRBK2 	0.1072368	9.17E-03
 ADRM1 	0.9247282	2.38E-11
 ADSL 	0.6410646	1.37E-06
 ADSS 	0.4026061	2.62E-05
 ADSSL1 	-0.1512234	1.95E-01
 AEBP1 	0.8519552	1.45E-06
 AEBP2 	0.312908	3.28E-07
 AEN 	0.2421866	3.04E-03
 AES 	-0.129162	2.68E-01
 AFAP1 	0.3233017	3.62E-08
 AFAP1-AS 	0.1694341	2.85E-01
 AFAP1L1 	-0.0000451	9.99E-01
 AFAP1L2 	0.0845025	3.72E-03
 AFF1 	-0.0969936	1.41E-01
 AFF2 	-0.007151	7.12E-01
 AFF3 	-0.1924905	4.19E-08
 AFF4 	0.0387224	6.16E-01
 AFG3L1P 	0.0581738	1.66E-02
 AFG3L2 	0.2350385	4.34E-02
 AFM 	0.0392656	7.24E-01
 AFP 	0.3173262	2.47E-01
 AFTPH 	0.0483759	5.78E-01
 AGA 	-0.0392486	7.07E-01
 AGAP1 	0.0601816	2.51E-01
 AGAP11 	-0.0134044	3.90E-01
 AGAP2 	-0.0055238	8.43E-01
 AGAP3 	0.2195973	1.17E-07
 AGAP8 	0.2573241	2.53E-04
 AGBL1 	-0.0081892	2.69E-01
 AGBL2 	0.0081732	3.74E-01
 AGBL3 	-0.0477757	5.55E-02
 AGBL4 	0.0036878	7.69E-01
 AGBL5 	-0.0005865	9.96E-01
 AGER 	-0.0003677	9.93E-01
 AGFG1 	0.8263654	3.01E-07
 AGFG2 	0.2219506	9.86E-04
 AGGF1 	0.0942226	3.64E-02
 AGK 	0.2098806	7.66E-05
 AGL 	0.0715641	2.93E-01
 AGMAT 	0.7043683	5.96E-06
 AGPAT1 	-0.1336704	1.30E-01
 AGPAT2 	0.9416426	4.10E-07
 AGPAT3 	-0.0896414	4.06E-01
 AGPAT4 	0.1674995	3.68E-04
 AGPAT5 	0.6714358	1.97E-05
 AGPAT6 	0.5564868	1.57E-06
 AGPAT9 	-0.3610512	3.32E-03
 AGPS 	0.7297022	6.84E-08
 AGR2 	0.2744313	3.53E-01
 AGR3 	1.1410581	2.07E-03
 AGRP 	-0.0191563	6.32E-01
 AGT 	0.9414434	3.40E-04
 AGTPBP1 	0.1798062	5.95E-05
 AGTR1 	-0.0248138	9.32E-02
 AGTR2 	0.0002315	9.84E-01
 AGTRAP 	0.7537914	1.37E-10
 AGXT 	-0.0805834	1.85E-03
 AGXT2 	-0.0068657	4.52E-01
 AGXT2L1 	-0.3303088	9.75E-05
 AGXT2L2 	-0.1723426	7.36E-04
 AHCTF1 	-0.1490478	1.22E-03
 AHCY 	1.0166346	1.05E-07
 AHCYL1 	0.0004908	9.96E-01
 AHCYL2 	-0.0900266	6.62E-01
 AHDC1 	0.0989403	5.67E-02
 AHI1 	0.1666648	6.71E-03
 AHNAK 	0.0059583	9.63E-01
 AHNAK2 	0.8425675	2.39E-05
 AHR 	1.0734142	3.58E-10
 AHRR 	0.0206145	3.11E-01
 AHSA1 	0.9724584	1.19E-08
 AHSA2 	0.0969971	2.48E-01
 AHSG 	0.1063268	4.44E-01
 AHSP 	-0.0200404	2.35E-02
 AICDA 	-0.0233668	3.51E-02
 AIDA 	-0.0162625	1.90E-01
 AIF1 	0.1715066	4.24E-03
 AIF1L 	0.0031073	9.59E-01
 AIFM1 	0.0567314	7.42E-01
 AIFM2 	0.2984092	8.01E-05
 AIFM3 	-0.0069968	6.82E-01
 AIG1 	0.41126	1.65E-02
 AIM1L 	0.1846892	1.85E-03
 AIM2 	0.0813072	2.84E-01
 AIMP1 	0.5869716	4.17E-05
 AIMP2 	1.114185	4.75E-09
 AIP 	0.3958762	5.10E-07
 AIPL1 	-0.0405514	5.00E-03
 AIRE 	-0.0737873	1.57E-02
 AJAP1 	-0.017926	5.66E-02
 AK1 	0.2697626	1.18E-01
 AK2 	0.3474837	9.12E-04
 AK3 	-0.1770164	1.10E-01
 AK4 	-0.1547869	2.92E-02
 AK5 	-0.0051408	5.97E-01
 AK7 	0.0360134	1.09E-01
 AKAP1 	0.6151742	2.28E-06
 AKAP10 	0.0453313	4.68E-01
 AKAP11 	0.3575336	5.77E-04
 AKAP12 	0.0876676	3.68E-02
 AKAP13 	0.1224586	2.68E-01
 AKAP14 	0.0109977	1.98E-01
 AKAP3 	-0.0195289	1.20E-01
 AKAP4 	-0.0001912	9.91E-01
 AKAP5 	0.0282318	3.29E-02
 AKAP6 	-0.0075985	8.22E-01
 AKAP7 	0.0126435	5.95E-01
 AKAP8 	0.291172	2.96E-07
 AKAP8L 	0.173024	3.04E-03
 AKAP9 	0.0590108	4.09E-01
 AKD1 	-0.0211572	5.15E-01
 AKIRIN1 	0.1523866	3.44E-02
 AKIRIN2 	0.7265584	3.05E-09
 AKNA 	-0.1468116	3.69E-02
 AKNAD1 	-0.0043546	5.79E-01
 AKR1A1 	0.2588762	4.61E-03
 AKR1B1 	-0.1224786	2.56E-01
 AKR1B15 	-1.8123704	8.41E-04
 AKR1C1 	-0.7954942	9.39E-04
 AKR1C2 	-0.9677662	1.02E-02
 AKR1C3 	-0.0546477	8.92E-01
 AKR1C4 	0.3486881	8.32E-02
 AKR1D1 	0.0249562	6.26E-01
 AKR1E2 	0.3543442	1.12E-03
 AKR7A2 	-0.0615351	5.00E-01
 AKR7A3 	-1.4367543	1.68E-09
 AKR7L 	-0.0291036	7.75E-01
 AKT1 	0.1585554	7.12E-02
 AKT1S1 	0.1558869	7.63E-02
 AKT2 	0.1349451	2.17E-02
 AKT3 	0.0852784	1.06E-01
 AKTIP 	0.277178	3.99E-03
 ALAD 	-0.4148146	7.07E-06
 ALAS1 	0.220558	3.22E-02
 ALAS2 	-0.0216722	9.57E-02
 ALB 	-0.1923922	2.70E-01
 ALCAM 	-0.554573	7.97E-04
 ALDH16A1 	0.0889032	1.54E-01
 ALDH18A1 	0.3490124	6.60E-03
 ALDH1A1 	-1.6776615	1.74E-06
 ALDH1A2 	0.055862	5.17E-01
 ALDH1A3 	0.3305303	6.09E-04
 ALDH1B1 	0.6260326	1.06E-06
 ALDH1L1 	-0.0889672	7.11E-02
 ALDH2 	-0.1416864	3.47E-01
 ALDH3A1 	-1.4849789	7.12E-08
 ALDH3A2 	-0.0437594	7.38E-01
 ALDH3B1 	0.1633382	6.11E-02
 ALDH3B2 	0.0611274	7.84E-03
 ALDH5A1 	0.0763518	3.19E-01
 ALDH6A1 	-1.0403866	2.86E-07
 ALDH7A1 	0.1184034	5.00E-01
 ALDH8A1 	-0.0111206	2.05E-01
 ALDH9A1 	0.253299	2.95E-02
 ALDOA 	0.4934053	3.49E-06
 ALDOB 	-0.8809544	7.94E-02
 ALDOC 	0.3121745	1.24E-01
 ALG1 	0.4882818	1.43E-05
 ALG10 	0.0234099	6.26E-01
 ALG11 	0.2712227	1.29E-03
 ALG12 	-0.0308704	7.44E-01
 ALG13 	0.181678	6.46E-03
 ALG14 	0.2044672	7.99E-02
 ALG1L 	0.118221	4.01E-02
 ALG2 	0.1053814	5.05E-02
 ALG3 	0.9597831	1.19E-08
 ALG5 	0.2761766	7.85E-02
 ALG6 	0.262608	7.86E-05
 ALG8 	0.673402	4.72E-07
 ALG9 	0.0381252	7.43E-01
 ALK 	-0.0281012	4.27E-05
 ALKBH1 	0.1466876	6.14E-03
 ALKBH2 	0.488196	5.10E-05
 ALKBH3 	0.0683526	4.14E-01
 ALKBH4 	0.0184543	5.66E-01
 ALKBH5 	-0.0909478	1.30E-01
 ALKBH6 	0.28397	9.57E-06
 ALKBH7 	-0.0575332	5.14E-01
 ALKBH8 	0.0451432	1.23E-01
 ALLC 	-0.0121516	1.56E-01
 ALMS1 	0.1866822	7.60E-04
 ALMS1P 	-0.0386435	9.33E-03
 ALOX12 	-0.207708	8.86E-03
 ALOX12B 	-0.0142921	3.99E-01
 ALOX15 	0.011883	6.62E-01
 ALOX15B 	-0.101618	2.42E-03
 ALOX5 	0.2389052	7.25E-02
 ALOX5AP 	0.4715154	3.17E-03
 ALOXE3 	-0.0144975	1.21E-01
 ALPI 	-0.0908243	4.18E-01
 ALPK1 	0.1609952	3.40E-02
 ALPK2 	-0.0036502	7.78E-01
 ALPK3 	-0.0201218	6.58E-01
 ALPL 	-0.0571877	6.44E-02
 ALPP 	0.0032934	9.60E-01
 ALPPL2 	0.3870362	8.12E-02
 ALS2 	0.1219974	2.34E-03
 ALS2CL 	0.2842296	3.17E-06
 ALS2CR11 	-0.0016262	8.85E-01
 ALS2CR12 	0.0243968	5.23E-02
 ALS2CR4 	0.1978323	3.13E-06
 ALS2CR8 	-0.0104367	7.49E-01
 ALX1 	0.0542834	2.32E-01
 ALX3 	-0.0408829	6.03E-02
 ALX4 	-0.0596267	5.12E-02
 AMAC1 	-0.0322915	5.44E-01
 AMACR 	-0.0240691	9.01E-01
 AMBN 	-0.0103658	1.50E-01
 AMBP 	0.0092686	9.06E-01
 AMBRA1 	0.181906	2.21E-04
 AMD1 	0.4814046	7.46E-05
 AMDHD1 	-0.007201	4.56E-01
 AMDHD2 	0.1958232	6.48E-04
 AMELX 	-0.026648	5.40E-02
 AMELY 	-0.0070264	5.41E-01
 AMFR 	0.3230441	7.12E-04
 AMH 	-0.0698109	1.64E-02
 AMHR2 	-0.0068016	9.27E-01
 AMICA1 	-0.0960944	4.69E-01
 AMIGO1 	-0.084241	7.31E-02
 AMIGO2 	0.428073	4.45E-04
 AMIGO3 	0.0239041	4.55E-01
 AMMECR1 	0.0710904	4.41E-02
 AMMECR1L 	0.2037311	3.35E-04
 AMN 	0.1312143	3.70E-01
 AMN1 	-0.1154393	3.13E-01
 AMOT 	0.2399771	1.29E-02
 AMOTL1 	0.1394719	5.13E-02
 AMOTL2 	0.0052922	9.40E-01
 AMPD1 	-0.2995378	1.11E-04
 AMPD2 	0.3941695	5.36E-08
 AMPD3 	0.0416504	3.22E-01
 AMPH 	-0.0215255	5.57E-03
 AMT 	-0.2420665	2.01E-04
 AMTN 	-0.0055959	6.28E-01
 AMY2B 	0.0289985	8.84E-01
 AMZ2 	0.1312836	7.62E-02
 AMZ2P1 	-0.022441	2.52E-01
 ANAPC1 	0.6817509	4.15E-08
 ANAPC10 	0.3435155	3.08E-04
 ANAPC11 	0.5101264	1.30E-04
 ANAPC13 	0.07542	5.24E-01
 ANAPC16 	-0.0535774	7.40E-01
 ANAPC2 	-0.1666322	1.21E-02
 ANAPC4 	-0.1340324	7.49E-02
 ANAPC5 	0.295098	1.47E-03
 ANG 	-0.3883557	3.11E-03
 ANGEL1 	0.0735242	2.33E-01
 ANGEL2 	0.1894941	6.58E-04
 ANGPT1 	-0.0057977	5.58E-01
 ANGPT2 	0.3485646	5.92E-06
 ANGPT4 	-0.0027799	8.04E-01
 ANGPTL1 	0.0242735	3.37E-01
 ANGPTL2 	0.2516488	9.97E-03
 ANGPTL3 	-0.0590312	8.50E-03
 ANGPTL4 	0.0401458	5.88E-01
 ANGPTL5 	-0.0004286	9.48E-01
 ANGPTL6 	-0.1375226	3.28E-07
 ANGPTL7 	-0.0080738	4.65E-01
 ANK1 	-0.0061321	7.32E-01
 ANK2 	0.0154682	6.44E-01
 ANK3 	-0.051882	1.93E-01
 ANKDD1A 	-0.0430756	3.15E-02
 ANKFN1 	-0.0171528	4.86E-02
 ANKFY1 	0.1725428	2.03E-03
 ANKH 	0.6810521	2.28E-06
 ANKHD1-EIF4EBP3 	0.1040891	5.81E-02
 ANKK1 	-0.0378241	2.05E-03
 ANKLE1 	-0.0140586	6.64E-01
 ANKMY1 	0.0629415	3.56E-02
 ANKMY2 	0.2240031	2.20E-02
 ANKRA2 	0.0446852	5.45E-01
 ANKRD1 	0.013006	6.71E-01
 ANKRD10 	0.6887598	3.32E-07
 ANKRD11 	0.083865	3.29E-02
 ANKRD12 	0.0215029	6.69E-01
 ANKRD13A 	0.1304878	5.65E-02
 ANKRD13B 	0.0971228	4.99E-02
 ANKRD13C 	0.2319495	1.39E-05
 ANKRD13D 	0.1775196	1.86E-05
 ANKRD16 	-0.0040778	9.63E-01
 ANKRD17 	0.1281491	8.37E-02
 ANKRD18A 	0.0174181	5.09E-01
 ANKRD2 	-0.0951362	2.79E-03
 ANKRD20B 	0.007425	7.49E-01
 ANKRD22 	-0.7149045	1.06E-03
 ANKRD23 	-0.0125035	6.86E-01
 ANKRD26 	0.0253382	2.64E-01
 ANKRD26P1 	-0.0059855	2.89E-01
 ANKRD27 	0.299867	3.24E-04
 ANKRD28 	0.0365687	6.43E-01
 ANKRD29 	-0.2156166	7.28E-02
 ANKRD30A 	-0.0079818	2.46E-01
 ANKRD30BL 	-0.0011841	9.78E-01
 ANKRD32 	0.0847022	3.36E-03
 ANKRD33 	-0.0404882	1.41E-02
 ANKRD34B 	-0.0076525	3.23E-01
 ANKRD35 	-0.0201153	3.94E-02
 ANKRD36B 	-0.1006997	5.33E-02
 ANKRD36BP1 	0.0141042	2.93E-01
 ANKRD37 	-0.208571	2.34E-02
 ANKRD39 	0.3359757	5.00E-06
 ANKRD40 	0.2388142	9.81E-05
 ANKRD42 	0.0072378	8.76E-01
 ANKRD43 	-0.1296353	1.65E-03
 ANKRD44 	-0.0671231	5.22E-01
 ANKRD45 	0.0452418	6.80E-02
 ANKRD46 	0.1623569	7.68E-03
 ANKRD49 	0.0391929	7.28E-01
 ANKRD5 	0.2811632	5.09E-05
 ANKRD50 	-0.0643804	6.17E-01
 ANKRD52 	0.111445	2.12E-02
